,Backbone,Dataset,MC Samples,# of Frames,Prediction Model,Seed,Uncertainty Measure,Aggregation Type,OOD Detection Rate,OOD AUROC,TTA Transforms
69,ResNet50,Cityscapes OOD (VIPER model),3,0,MCDropout+TTA,1,mutual_information_mask,Patch Level,0.454,0.45158800000000004,"('horizontalFlip',)"
70,ResNet50,Cityscapes OOD (VIPER model),3,0,MCDropout+TTA,1,expected_variance_mask,Patch Level,0.654,0.60314,"('horizontalFlip',)"
71,ResNet50,Cityscapes OOD (VIPER model),3,0,MCDropout+TTA,1,mutual_information_class,Patch Level,0.57,0.565968,"('horizontalFlip',)"
72,ResNet50,Cityscapes OOD (VIPER model),3,0,MCDropout+TTA,1,softmax_cls_score,Patch Level,0.772,0.7033479999999999,"('horizontalFlip',)"
73,ResNet50,Cityscapes OOD (VIPER model),3,0,MCDropout+TTA,1,pred_variance_mask,Patch Level,0.622,0.596112,"('horizontalFlip',)"
74,ResNet50,Cityscapes OOD (VIPER model),3,0,MCDropout+TTA,1,pred_variance_mask,Image Level,0.162,0.27402400000000005,"('horizontalFlip',)"
75,ResNet50,Cityscapes OOD (VIPER model),3,0,MCDropout+TTA,1,class_mask_combined_score,Patch Level,0.778,0.7028920000000001,"('horizontalFlip',)"
76,ResNet50,Cityscapes OOD (VIPER model),3,0,MCDropout+TTA,1,pred_entropy_mask,Image Level,0.798,0.670308,"('horizontalFlip',)"
77,ResNet50,Cityscapes OOD (VIPER model),3,0,MCDropout+TTA,1,mutual_information_mask,Image Level,0.48,0.487556,"('horizontalFlip',)"
78,ResNet50,Cityscapes OOD (VIPER model),3,0,MCDropout+TTA,1,expected_entropy_class,Patch Level,0.572,0.5446880000000001,"('horizontalFlip',)"
79,ResNet50,Cityscapes OOD (VIPER model),3,0,MCDropout+TTA,1,expected_entropy_class,Image Level,0.748,0.643568,"('horizontalFlip',)"
80,ResNet50,Cityscapes OOD (VIPER model),3,0,MCDropout+TTA,1,pred_entropy_class,Patch Level,0.59,0.558684,"('horizontalFlip',)"
81,ResNet50,Cityscapes OOD (VIPER model),3,0,MCDropout+TTA,1,pred_entropy_class,Image Level,0.742,0.645672,"('horizontalFlip',)"
82,ResNet50,Cityscapes OOD (VIPER model),3,0,MCDropout+TTA,1,mutual_information_class,Image Level,0.714,0.6374679999999999,"('horizontalFlip',)"
83,ResNet50,Cityscapes OOD (VIPER model),3,0,MCDropout+TTA,1,softmax_cls_score,Image Level,0.752,0.653832,"('horizontalFlip',)"
84,ResNet50,Cityscapes OOD (VIPER model),3,0,MCDropout+TTA,1,norm_sigmoid_mask_score,Patch Level,0.644,0.613676,"('horizontalFlip',)"
85,ResNet50,Cityscapes OOD (VIPER model),3,0,MCDropout+TTA,1,norm_sigmoid_mask_score,Image Level,0.724,0.6297200000000001,"('horizontalFlip',)"
86,ResNet50,Cityscapes OOD (VIPER model),3,0,MCDropout+TTA,1,class_mask_combined_score,Image Level,0.744,0.6507160000000001,"('horizontalFlip',)"
87,ResNet50,Cityscapes OOD (VIPER model),3,0,MCDropout+TTA,1,expected_variance_mask,Image Level,0.14,0.270772,"('horizontalFlip',)"
88,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,2,MCDropout+TTA+Timeseries,3,pred_entropy_mask,Image Level,0.826,0.610044,"('horizontalFlip',)"
89,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,2,MCDropout+TTA+Timeseries,3,mutual_information_mask,Image Level,0.832,0.64598,"('horizontalFlip',)"
