Dataset,Backbone,MC Samples,# of Frames,TTA Transforms,Seed,AURC-PQ,EAURC-PQ,AURC-IoU,EAURC-IoU,AURC-DICE,EAURC-DICE
Cityscapes,Swin-B,5,3,(),3,0.3087916495806578,0.05044832876067101,0.051134138958668154,0.008614921641176936,0.026404418480043535,0.004608265520898477
Cityscapes,Swin-B,10,0,(),1,0.29828060753868274,0.058007834031215205,0.0468707788793428,0.007815473888854278,0.024156216266885747,0.004173812468569547
Cityscapes,Swin-B,10,0,(),2,0.29600282101162895,0.058004187675809504,0.04696751951470712,0.007895745751970343,0.024207210234150345,0.004215993059773656
Cityscapes,Swin-B,10,0,(),3,0.29756041297951663,0.058942707914161896,0.046970780172554516,0.007929303950856226,0.024209283144400722,0.004233833653257357
Cityscapes,Swin-B,10,0,"('horizontalFlip',)",1,0.2946775405205136,0.059563528831826945,0.04585013888602998,0.007403359763516831,0.0236056176857498,0.003942188811134076
Cityscapes,Swin-B,10,0,"('horizontalFlip',)",2,0.2971667347893206,0.058875811990444865,0.04594293779823598,0.007523260300979946,0.023655268642960924,0.004006033229437787
Cityscapes,Swin-B,10,0,"('horizontalFlip',)",3,0.29275275838123266,0.056805692194319996,0.04596842636439723,0.0075146955594129,0.023667159808115314,0.004000369226162641
Cityscapes,Swin-B,10,1,(),1,0.29448062952795007,0.053065836381189585,0.04747016387364791,0.007969050907742227,0.024470020291557,0.004255231977841924
Cityscapes,Swin-B,10,1,(),2,0.2957802713183892,0.0529680865918003,0.047484348942459446,0.00800888255584644,0.024478257419740915,0.004277045135192684
Cityscapes,Swin-B,10,1,(),3,0.2962720708767286,0.053624195637571814,0.047626386309652956,0.00814705251556544,0.02455249835317494,0.004349303661759372
Cityscapes (VIPER model),DINOv2 (ViT-B),0,0,(),1,0.5723010210259846,0.050315646915011114,0.31001817100086665,0.05868493612439174,0.1941133217815584,0.043852943948998135
Cityscapes (VIPER model),DINOv2 (ViT-B),0,0,"('horizontalFlip',)",1,0.5675331374859898,0.051406839133540605,0.3034588346521355,0.05500835390144315,0.18949346484236299,0.04117448579560931
Cityscapes (VIPER model),DINOv2 (ViT-B),0,0,"('horizontalFlip',)",2,0.5675331374859898,0.051406839133540605,0.3034588346521355,0.05500835390144315,0.18949346484236299,0.04117448579560931
Cityscapes (VIPER model),DINOv2 (ViT-B),0,0,"('horizontalFlip',)",3,0.5675331374859898,0.051406839133540605,0.3034588346521355,0.05500835390144315,0.18949346484236299,0.04117448579560931
Cityscapes (VIPER model),DINOv2 (ViT-B),0,0,"('horizontalFlip', 'scale')",1,0.5743864781615392,0.05672106686000289,0.30012378328711664,0.05527263720271583,0.18682461403100523,0.04098509385409757
Cityscapes (VIPER model),DINOv2 (ViT-B),0,0,"('horizontalFlip', 'scale')",2,0.5743864781615392,0.05672106686000289,0.30012378328711664,0.05527263720271583,0.18682461403100523,0.04098509385409757
Cityscapes (VIPER model),DINOv2 (ViT-B),0,0,"('horizontalFlip', 'scale')",3,0.5743864781615392,0.05672106686000289,0.30012378328711664,0.05527263720271583,0.18682461403100523,0.04098509385409757
Cityscapes (VIPER model),DINOv2 (ViT-B),0,0,"('scale',)",1,0.5971384716403603,0.0504056127497029,0.3066228737163073,0.05535868044127146,0.1914535726002032,0.04141177981471042
Cityscapes (VIPER model),DINOv2 (ViT-B),0,0,"('scale',)",2,0.5971384716403603,0.0504056127497029,0.3066228737163073,0.05535868044127146,0.1914535726002032,0.04141177981471042
Cityscapes (VIPER model),DINOv2 (ViT-B),0,0,"('scale',)",3,0.5971384716403603,0.0504056127497029,0.3066228737163073,0.05535868044127146,0.1914535726002032,0.04141177981471042
Cityscapes (VIPER model),DINOv2 (ViT-B),0,1,(),1,0.5705096961130822,0.05223627415377974,0.3088838384767508,0.05884586623375343,0.19335882340499747,0.04396308417057607
Cityscapes (VIPER model),DINOv2 (ViT-B),0,1,(),2,0.5705096961130822,0.05223627415377974,0.3088838384767508,0.05884586623375343,0.19335882340499747,0.04396308417057607
Cityscapes (VIPER model),DINOv2 (ViT-B),0,1,(),3,0.5705096961130822,0.05223627415377974,0.3088838384767508,0.05884586623375343,0.19335882340499747,0.04396308417057607
Cityscapes (VIPER model),DINOv2 (ViT-B),0,1,"('horizontalFlip',)",1,0.5603961509407178,0.05246453177991506,0.3027231086796167,0.05487924088170787,0.18894887439537597,0.04099098207653418
Cityscapes (VIPER model),DINOv2 (ViT-B),0,1,"('horizontalFlip',)",2,0.5603961509407178,0.05246453177991506,0.3027231086796167,0.05487924088170787,0.18894887439537597,0.04099098207653418
Cityscapes (VIPER model),DINOv2 (ViT-B),0,1,"('horizontalFlip',)",3,0.5603961509407178,0.05246453177991506,0.3027231086796167,0.05487924088170787,0.18894887439537597,0.04099098207653418
Cityscapes (VIPER model),DINOv2 (ViT-B),0,1,"('horizontalFlip', 'scale')",1,0.5715764948032346,0.05720430640989693,0.2991086191207437,0.05540931629904303,0.18619369806825897,0.04102519292397419
Cityscapes (VIPER model),DINOv2 (ViT-B),0,1,"('horizontalFlip', 'scale')",2,0.5715764948032346,0.05720430640989693,0.2991086191207437,0.05540931629904303,0.18619369806825897,0.04102519292397419
Cityscapes (VIPER model),DINOv2 (ViT-B),0,1,"('horizontalFlip', 'scale')",3,0.5715764948032346,0.05720430640989693,0.2991086191207437,0.05540931629904303,0.18619369806825897,0.04102519292397419
Cityscapes (VIPER model),DINOv2 (ViT-B),0,1,"('scale',)",1,0.5952747579077986,0.05378074215976769,0.30610402923378266,0.056566042092251134,0.19116492781319916,0.04221062289375754
Cityscapes (VIPER model),DINOv2 (ViT-B),0,1,"('scale',)",2,0.5952747579077986,0.05378074215976769,0.30610402923378266,0.056566042092251134,0.19116492781319916,0.04221062289375754
Cityscapes (VIPER model),DINOv2 (ViT-B),0,1,"('scale',)",3,0.5952747579077986,0.05378074215976769,0.30610402923378266,0.056566042092251134,0.19116492781319916,0.04221062289375754
Cityscapes (VIPER model),DINOv2 (ViT-B),0,2,(),1,0.5698461747165342,0.05394728375125135,0.30808566099488677,0.05851379975880147,0.19272314829181153,0.043657278731853794
Cityscapes (VIPER model),DINOv2 (ViT-B),0,2,(),2,0.5698461747165342,0.05394728375125135,0.30808566099488677,0.05851379975880147,0.19272314829181153,0.043657278731853794
Cityscapes (VIPER model),DINOv2 (ViT-B),0,2,(),3,0.5698461747165342,0.05394728375125135,0.30808566099488677,0.05851379975880147,0.19272314829181153,0.043657278731853794
Cityscapes (VIPER model),DINOv2 (ViT-B),0,2,"('horizontalFlip',)",1,0.5612273409833191,0.05360233675213588,0.3028008586932718,0.055571768034960306,0.18895127228885691,0.04141144842230349
Cityscapes (VIPER model),DINOv2 (ViT-B),0,2,"('horizontalFlip',)",2,0.5612273409833191,0.05360233675213588,0.3028008586932718,0.055571768034960306,0.18895127228885691,0.04141144842230349
Cityscapes (VIPER model),DINOv2 (ViT-B),0,2,"('horizontalFlip',)",3,0.5612273409833191,0.05360233675213588,0.3028008586932718,0.055571768034960306,0.18895127228885691,0.04141144842230349
Cityscapes (VIPER model),DINOv2 (ViT-B),0,2,"('horizontalFlip', 'scale')",1,0.5705010355337807,0.057318281897990264,0.29924098949483924,0.05564462590755376,0.1862818325778747,0.04119483963982845
Cityscapes (VIPER model),DINOv2 (ViT-B),0,2,"('horizontalFlip', 'scale')",2,0.5705010355337807,0.057318281897990264,0.29924098949483924,0.05564462590755376,0.1862818325778747,0.04119483963982845
Cityscapes (VIPER model),DINOv2 (ViT-B),0,2,"('horizontalFlip', 'scale')",3,0.5705010355337807,0.057318281897990264,0.29924098949483924,0.05564462590755376,0.1862818325778747,0.04119483963982845
Cityscapes (VIPER model),DINOv2 (ViT-B),0,2,"('scale',)",1,0.595609163861825,0.05385612820884089,0.3056182938067031,0.05620171821279493,0.19082248682614544,0.0419539978182184
Cityscapes (VIPER model),DINOv2 (ViT-B),0,2,"('scale',)",2,0.595609163861825,0.05385612820884089,0.3056182938067031,0.05620171821279493,0.19082248682614544,0.0419539978182184
Cityscapes (VIPER model),DINOv2 (ViT-B),0,2,"('scale',)",3,0.595609163861825,0.05385612820884089,0.3056182938067031,0.05620171821279493,0.19082248682614544,0.0419539978182184
Cityscapes (VIPER model),DINOv2 (ViT-B),0,3,(),1,0.5726265467412535,0.05454257165266119,0.3083074259125981,0.05833193036104964,0.19288810928807845,0.043521528625826866
Cityscapes (VIPER model),DINOv2 (ViT-B),0,3,(),2,0.5726265467412535,0.05454257165266119,0.3083074259125981,0.05833193036104964,0.19288810928807845,0.043521528625826866
Cityscapes (VIPER model),DINOv2 (ViT-B),0,3,(),3,0.5726265467412535,0.05454257165266119,0.3083074259125981,0.05833193036104964,0.19288810928807845,0.043521528625826866
Cityscapes (VIPER model),DINOv2 (ViT-B),0,3,"('horizontalFlip',)",1,0.5650380991278102,0.05352853882150421,0.3029799493234203,0.05561116954303086,0.18911112278623085,0.04145974950330916
Cityscapes (VIPER model),DINOv2 (ViT-B),0,3,"('horizontalFlip',)",2,0.5650380991278102,0.05352853882150421,0.3029799493234203,0.05561116954303086,0.18911112278623085,0.04145974950330916
Cityscapes (VIPER model),DINOv2 (ViT-B),0,3,"('horizontalFlip',)",3,0.5650380991278102,0.05352853882150421,0.3029799493234203,0.05561116954303086,0.18911112278623085,0.04145974950330916
Cityscapes (VIPER model),DINOv2 (ViT-B),0,3,"('scale',)",1,0.5957400567156482,0.05400956226779019,0.30558939061239176,0.05607541254790435,0.19081554185708394,0.041868711964246436
Cityscapes (VIPER model),DINOv2 (ViT-B),0,3,"('scale',)",2,0.5957400567156482,0.05400956226779019,0.30558939061239176,0.05607541254790435,0.19081554185708394,0.041868711964246436
Cityscapes (VIPER model),DINOv2 (ViT-B),0,3,"('scale',)",3,0.5957400567156482,0.05400956226779019,0.30558939061239176,0.05607541254790435,0.19081554185708394,0.041868711964246436
Cityscapes (VIPER model),DINOv2 (ViT-B),0,5,(),1,0.57977919308407,0.053171758013635384,0.3085099149477569,0.0581929582852847,0.1931027367752619,0.04347615590826723
Cityscapes (VIPER model),DINOv2 (ViT-B),0,5,(),2,0.57977919308407,0.053171758013635384,0.3085099149477569,0.0581929582852847,0.1931027367752619,0.04347615590826723
Cityscapes (VIPER model),DINOv2 (ViT-B),0,5,(),3,0.57977919308407,0.053171758013635384,0.3085099149477569,0.0581929582852847,0.1931027367752619,0.04347615590826723
Cityscapes (VIPER model),DINOv2 (ViT-B),0,5,"('horizontalFlip',)",1,0.5736736599392722,0.05244420035981967,0.3020961006458354,0.05436908704832252,0.18860852788110877,0.04062826481680576
Cityscapes (VIPER model),DINOv2 (ViT-B),0,5,"('horizontalFlip',)",2,0.5736736599392722,0.05244420035981967,0.3020961006458354,0.05436908704832252,0.18860852788110877,0.04062826481680576
Cityscapes (VIPER model),DINOv2 (ViT-B),0,5,"('horizontalFlip',)",3,0.5736736599392722,0.05244420035981967,0.3020961006458354,0.05436908704832252,0.18860852788110877,0.04062826481680576
Cityscapes (VIPER model),DINOv2 (ViT-B),0,5,"('scale',)",1,0.6021208150373611,0.05364058189658982,0.30553632727485686,0.05563008823824023,0.19081104208997335,0.04157423217583453
