Dataset,Backbone,MC Samples,# of Frames,TTA Transforms,Seed,OOD Detection Rate,OOD AUROC
Cityscapes OOD,DINOv2 (ViT-B),10,0,"('horizontalFlip',)",2,0.804,0.6456480000000001
Cityscapes OOD,DINOv2 (ViT-B),10,0,"('horizontalFlip',)",3,0.792,0.6424479999999999
Cityscapes OOD,DINOv2 (ViT-B),10,1,(),1,0.906,0.727556
Cityscapes OOD,DINOv2 (ViT-B),10,1,(),2,0.93,0.7336879999999999
Cityscapes OOD,DINOv2 (ViT-B),10,1,(),3,0.914,0.72706
Cityscapes OOD,ResNet50,0,0,(),1,0.94,0.754052
Cityscapes OOD,ResNet50,0,0,"('horizontalFlip',)",1,0.942,0.7609600000000001
Cityscapes OOD,ResNet50,0,0,"('horizontalFlip',)",2,0.942,0.7609600000000001
Cityscapes OOD,ResNet50,0,0,"('horizontalFlip',)",3,0.942,0.7609600000000001
Cityscapes OOD,ResNet50,0,0,"('horizontalFlip', 'scale')",1,0.92,0.761568
Cityscapes OOD,ResNet50,0,0,"('horizontalFlip', 'scale')",2,0.92,0.761568
Cityscapes OOD,ResNet50,0,0,"('horizontalFlip', 'scale')",3,0.92,0.761568
Cityscapes OOD,ResNet50,0,0,"('scale',)",1,0.91,0.768152
Cityscapes OOD,ResNet50,0,0,"('scale',)",2,0.91,0.768152
Cityscapes OOD,ResNet50,0,0,"('scale',)",3,0.91,0.768152
Cityscapes OOD,ResNet50,0,1,(),1,0.98,0.9125160000000001
Cityscapes OOD,ResNet50,0,1,(),2,0.98,0.9125160000000001
Cityscapes OOD,ResNet50,0,1,(),3,0.98,0.9125160000000001
Cityscapes OOD,ResNet50,0,1,"('horizontalFlip',)",1,0.986,0.874756
Cityscapes OOD,ResNet50,0,1,"('horizontalFlip',)",2,0.986,0.874756
Cityscapes OOD,ResNet50,0,1,"('horizontalFlip',)",3,0.986,0.874756
Cityscapes OOD,ResNet50,0,1,"('horizontalFlip', 'scale')",1,0.968,0.809824
Cityscapes OOD,ResNet50,0,1,"('horizontalFlip', 'scale')",2,0.968,0.809824
Cityscapes OOD,ResNet50,0,1,"('horizontalFlip', 'scale')",3,0.968,0.809824
Cityscapes OOD,ResNet50,0,1,"('scale',)",1,0.98,0.8143119999999999
Cityscapes OOD,ResNet50,0,1,"('scale',)",2,0.98,0.8143119999999999
Cityscapes OOD,ResNet50,0,1,"('scale',)",3,0.98,0.8143119999999999
Cityscapes OOD,ResNet50,0,2,(),1,0.984,0.873584
Cityscapes OOD,ResNet50,0,2,(),2,0.984,0.873584
Cityscapes OOD,ResNet50,0,2,(),3,0.984,0.873584
Cityscapes OOD,ResNet50,0,2,"('horizontalFlip',)",1,0.988,0.8448959999999999
Cityscapes OOD,ResNet50,0,2,"('horizontalFlip',)",2,0.988,0.8448959999999999
Cityscapes OOD,ResNet50,0,2,"('horizontalFlip',)",3,0.988,0.8448959999999999
Cityscapes OOD,ResNet50,0,2,"('horizontalFlip', 'scale')",1,0.978,0.7677560000000001
Cityscapes OOD,ResNet50,0,2,"('horizontalFlip', 'scale')",2,0.978,0.7677560000000001
Cityscapes OOD,ResNet50,0,2,"('horizontalFlip', 'scale')",3,0.978,0.7677560000000001
Cityscapes OOD,ResNet50,0,2,"('scale',)",1,0.988,0.783652
Cityscapes OOD,ResNet50,0,2,"('scale',)",2,0.988,0.783652
Cityscapes OOD,ResNet50,0,2,"('scale',)",3,0.988,0.783652
Cityscapes OOD,ResNet50,0,3,(),1,0.984,0.843312
Cityscapes OOD,ResNet50,0,3,(),2,0.984,0.843312
Cityscapes OOD,ResNet50,0,3,(),3,0.984,0.843312
Cityscapes OOD,ResNet50,0,3,"('horizontalFlip',)",1,0.988,0.8193560000000001
Cityscapes OOD,ResNet50,0,3,"('horizontalFlip',)",2,0.988,0.8193560000000001
Cityscapes OOD,ResNet50,0,3,"('horizontalFlip',)",3,0.988,0.8193560000000001
Cityscapes OOD,ResNet50,0,3,"('scale',)",1,0.988,0.756764
Cityscapes OOD,ResNet50,0,3,"('scale',)",2,0.988,0.756764
Cityscapes OOD,ResNet50,0,3,"('scale',)",3,0.988,0.756764
Cityscapes OOD,ResNet50,0,5,(),1,0.98,0.789028
Cityscapes OOD,ResNet50,0,5,(),2,0.98,0.789028
Cityscapes OOD,ResNet50,0,5,(),3,0.98,0.789028
Cityscapes OOD,ResNet50,0,5,"('horizontalFlip',)",1,0.988,0.7750239999999999
Cityscapes OOD,ResNet50,0,5,"('horizontalFlip',)",2,0.988,0.7750239999999999
Cityscapes OOD,ResNet50,0,5,"('horizontalFlip',)",3,0.988,0.7750239999999999
Cityscapes OOD,ResNet50,0,5,"('scale',)",1,0.984,0.7246840000000001
Cityscapes OOD,ResNet50,0,5,"('scale',)",2,0.984,0.7246840000000001
Cityscapes OOD,ResNet50,0,5,"('scale',)",3,0.984,0.7246840000000001
Cityscapes OOD,ResNet50,3,0,(),1,0.958,0.771712
Cityscapes OOD,ResNet50,3,0,(),2,0.958,0.7690359999999999
Cityscapes OOD,ResNet50,3,0,(),3,0.958,0.77252
Cityscapes OOD,ResNet50,3,0,"('horizontalFlip',)",1,0.962,0.7787519999999999
Cityscapes OOD,ResNet50,3,0,"('horizontalFlip',)",2,0.966,0.7800840000000001
Cityscapes OOD,ResNet50,3,0,"('horizontalFlip',)",3,0.97,0.7826000000000001
Cityscapes OOD,ResNet50,3,0,"('horizontalFlip', 'scale')",1,0.94,0.773216
Cityscapes OOD,ResNet50,3,0,"('horizontalFlip', 'scale')",2,0.954,0.7799119999999999
Cityscapes OOD,ResNet50,3,0,"('horizontalFlip', 'scale')",3,0.934,0.773912
Cityscapes OOD,ResNet50,3,0,"('scale',)",1,0.928,0.77642
Cityscapes OOD,ResNet50,3,0,"('scale',)",2,0.944,0.777572
Cityscapes OOD,ResNet50,3,0,"('scale',)",3,0.936,0.788144
Cityscapes OOD,ResNet50,3,1,(),1,0.976,0.8996200000000001
Cityscapes OOD,ResNet50,3,1,(),2,0.972,0.9031
Cityscapes OOD,ResNet50,3,1,(),3,0.978,0.8999759999999999
Cityscapes OOD,ResNet50,3,1,"('horizontalFlip',)",1,0.982,0.87828
Cityscapes OOD,ResNet50,3,1,"('horizontalFlip',)",2,0.99,0.8848999999999999
Cityscapes OOD,ResNet50,3,1,"('horizontalFlip',)",3,0.99,0.8832640000000002
Cityscapes OOD,ResNet50,3,1,"('scale',)",1,0.978,0.8186720000000001
