,Backbone,Dataset,TTA Transforms,# of Frames,Panoptic Aggregation Method,Prediction Model,Seed,PQ-All,RQ-All,SQ-All,PQ-Global,RQ-Global,SQ-Global,PQ-Things,RQ-Things,SQ-Things,PQ-Stuff,RQ-Stuff,SQ-Stuff,mIoU,mDICE,gIoU,gDICE,Uncertainty Measure,Aggregation Type,AURC-PQ,EAURC-PQ,AURC-IoU,EAURC-IoU,AURC-DICE,EAURC-DICE,Panoptic Class - ECE,Panoptic Class - MCE,Panoptic Class - ACE,Semantic Class - ECE,Semantic Class - MCE,Semantic Class - ACE,MC Samples
22,ResNet50,Cityscapes,"('horizontalFlip', 'scale')",1,Averaging,TTA+Timeseries,1,0.5970095590357269,0.7241728648809652,0.8089106911810958,0.5946822309701004,0.7313376847475429,0.8131431531186365,0.4931497189437794,0.6222196824249752,0.7830775258187077,0.6725439881935068,0.798320633939867,0.8276984478082873,0.802205155123746,0.8851337534798539,0.9296042581714061,0.9635180418313835,softmax_cls_score,Patch Level,0.3615989267743276,0.07099789368351322,0.05957985387317221,0.017654170953237076,0.031067779725645592,0.009567386440026141,0.01926445243310643,0.305459744835404,0.10997187564900866,0.030996604400576184,0.8959406649147739,0.25531976213169,0
23,ResNet50,Cityscapes,"('horizontalFlip', 'scale')",1,Averaging,TTA+Timeseries,1,0.5970095590357269,0.7241728648809652,0.8089106911810958,0.5946822309701004,0.7313376847475429,0.8131431531186365,0.4931497189437794,0.6222196824249752,0.7830775258187077,0.6725439881935068,0.798320633939867,0.8276984478082873,0.802205155123746,0.8851337534798539,0.9296042581714061,0.9635180418313835,softmax_cls_score,Image Level,0.3782752139898945,0.08767418089908013,0.051953190962453905,0.01002750804251877,0.02686097941504202,0.00536058612942257,0.01926445243310643,0.305459744835404,0.10997187564900866,0.030996604400576184,0.8959406649147739,0.25531976213169,0
24,ResNet50,Cityscapes,"('scale',)",1,Averaging,MCDropout+TTA+Timeseries,3,0.586744246778542,0.7136982124380685,0.8053312672436733,0.5796333793668139,0.7158553334350679,0.8097074259200026,0.4757465479661356,0.6044131309142087,0.7766305988007011,0.6674698459148375,0.7931782717281481,0.8262044806567439,0.7880744960034903,0.8763065696169795,0.9289175663310553,0.9631490557659502,expected_entropy_mask,Patch Level,0.42004052238202255,0.11876876022250815,0.05844989681116428,0.015777753781446323,0.030425379183248034,0.008531445760357706,0.020015837497021443,0.3494176299636694,0.11080812119020388,0.03273587432875348,0.8780457251958925,0.27131267530533615,3
25,ResNet50,Cityscapes,"('scale',)",1,Averaging,MCDropout+TTA+Timeseries,3,0.586744246778542,0.7136982124380685,0.8053312672436733,0.5796333793668139,0.7158553334350679,0.8097074259200026,0.4757465479661356,0.6044131309142087,0.7766305988007011,0.6674698459148375,0.7931782717281481,0.8262044806567439,0.7880744960034903,0.8763065696169795,0.9289175663310553,0.9631490557659502,expected_entropy_mask,Image Level,0.4040368928857642,0.10276513072624982,0.05215571704736984,0.009483574017651882,0.02705559085075825,0.005161657427867922,0.020015837497021443,0.3494176299636694,0.11080812119020388,0.03273587432875348,0.8780457251958925,0.27131267530533615,3
26,ResNet50,Cityscapes,"('scale',)",1,Averaging,MCDropout+TTA+Timeseries,3,0.586744246778542,0.7136982124380685,0.8053312672436733,0.5796333793668139,0.7158553334350679,0.8097074259200026,0.4757465479661356,0.6044131309142087,0.7766305988007011,0.6674698459148375,0.7931782717281481,0.8262044806567439,0.7880744960034903,0.8763065696169795,0.9289175663310553,0.9631490557659502,expected_entropy_class,Patch Level,0.3591092732315672,0.057837511072052816,0.056065150910159824,0.013393007880441864,0.02946173184914617,0.007567798426255844,0.020015837497021443,0.3494176299636694,0.11080812119020388,0.03273587432875348,0.8780457251958925,0.27131267530533615,3
27,ResNet50,Cityscapes,"('scale',)",1,Averaging,MCDropout+TTA+Timeseries,3,0.586744246778542,0.7136982124380685,0.8053312672436733,0.5796333793668139,0.7158553334350679,0.8097074259200026,0.4757465479661356,0.6044131309142087,0.7766305988007011,0.6674698459148375,0.7931782717281481,0.8262044806567439,0.7880744960034903,0.8763065696169795,0.9289175663310553,0.9631490557659502,expected_entropy_class,Image Level,0.395724974882293,0.09445321272277862,0.05145411148075427,0.008781968451036307,0.02658693320769087,0.004692999784800544,0.020015837497021443,0.3494176299636694,0.11080812119020388,0.03273587432875348,0.8780457251958925,0.27131267530533615,3
28,ResNet50,Cityscapes,"('scale',)",1,Averaging,MCDropout+TTA+Timeseries,3,0.586744246778542,0.7136982124380685,0.8053312672436733,0.5796333793668139,0.7158553334350679,0.8097074259200026,0.4757465479661356,0.6044131309142087,0.7766305988007011,0.6674698459148375,0.7931782717281481,0.8262044806567439,0.7880744960034903,0.8763065696169795,0.9289175663310553,0.9631490557659502,expected_variance_mask,Patch Level,0.45691409961208146,0.15564233745256706,0.07188958201290034,0.02921743898318238,0.03776990819868301,0.015875974775792685,0.020015837497021443,0.3494176299636694,0.11080812119020388,0.03273587432875348,0.8780457251958925,0.27131267530533615,3
29,ResNet50,Cityscapes,"('scale',)",1,Averaging,MCDropout+TTA+Timeseries,3,0.586744246778542,0.7136982124380685,0.8053312672436733,0.5796333793668139,0.7158553334350679,0.8097074259200026,0.4757465479661356,0.6044131309142087,0.7766305988007011,0.6674698459148375,0.7931782717281481,0.8262044806567439,0.7880744960034903,0.8763065696169795,0.9289175663310553,0.9631490557659502,expected_variance_mask,Image Level,0.4341527817563809,0.1328810195968665,0.07680097072178906,0.034128827692071095,0.04039751632611393,0.0185035829032236,0.020015837497021443,0.3494176299636694,0.11080812119020388,0.03273587432875348,0.8780457251958925,0.27131267530533615,3
30,ResNet50,Cityscapes,"('scale',)",1,Averaging,MCDropout+TTA+Timeseries,3,0.586744246778542,0.7136982124380685,0.8053312672436733,0.5796333793668139,0.7158553334350679,0.8097074259200026,0.4757465479661356,0.6044131309142087,0.7766305988007011,0.6674698459148375,0.7931782717281481,0.8262044806567439,0.7880744960034903,0.8763065696169795,0.9289175663310553,0.9631490557659502,pred_entropy_class,Patch Level,0.35063299054687136,0.04936122838735696,0.060551019461344315,0.017878876431626355,0.03201644608614881,0.01012251266325848,0.020015837497021443,0.3494176299636694,0.11080812119020388,0.03273587432875348,0.8780457251958925,0.27131267530533615,3
31,ResNet50,Cityscapes,"('scale',)",1,Averaging,MCDropout+TTA+Timeseries,3,0.586744246778542,0.7136982124380685,0.8053312672436733,0.5796333793668139,0.7158553334350679,0.8097074259200026,0.4757465479661356,0.6044131309142087,0.7766305988007011,0.6674698459148375,0.7931782717281481,0.8262044806567439,0.7880744960034903,0.8763065696169795,0.9289175663310553,0.9631490557659502,pred_entropy_class,Image Level,0.3994980183592424,0.09822625619972802,0.052224342688115315,0.009552199658397355,0.02700030148716083,0.005106368064270502,0.020015837497021443,0.3494176299636694,0.11080812119020388,0.03273587432875348,0.8780457251958925,0.27131267530533615,3
